REF_DATE,GEO,Labour force characteristics,VALUE
2020-11,New Brunswick,Unemployment rate,9.9
2020-11,New Brunswick,Participation rate,61.8
2020-11,New Brunswick,Employment rate,55.7
2020-11,Quebec,Employment,4196.6
2020-11,Quebec,Full-time employment,3446.8
2020-11,Quebec,Part-time employment,749.7
2020-11,Quebec,Unemployment rate,7.2
2020-11,Quebec,Participation rate,64.2
2020-11,Quebec,Employment rate,59.6
2020-11,Ontario,Employment,7302.9
2020-11,Ontario,Full-time employment,6013.2
2020-11,Ontario,Part-time employment,1289.7
2020-11,Ontario,Unemployment rate,9.0
2020-11,Ontario,Participation rate,65.2
2020-11,Ontario,Employment rate,59.4
2020-11,Manitoba,Employment,639.1
2020-11,Manitoba,Full-time employment,522.9
2020-11,Manitoba,Part-time employment,116.2
2020-11,Manitoba,Unemployment rate,7.8
2020-11,Manitoba,Participation rate,65.6
2020-11,Manitoba,Employment rate,60.5
2020-11,Saskatchewan,Employment,555.3
2020-11,Saskatchewan,Full-time employment,456.6
2020-11,Saskatchewan,Part-time employment,98.7
2020-11,Saskatchewan,Unemployment rate,7.2
2020-11,Saskatchewan,Participation rate,67.6
2020-11,Saskatchewan,Employment rate,62.8
2020-11,Alberta,Employment,2182.8
2020-11,Alberta,Full-time employment,1744.0
2020-11,Alberta,Part-time employment,438.8
2020-11,Alberta,Unemployment rate,11.1
2020-11,Alberta,Participation rate,69.9
2020-11,Alberta,Employment rate,62.1
2020-11,British Columbia,Employment,2635.2
2020-11,British Columbia,Full-time employment,2057.1
2020-11,British Columbia,Part-time employment,578.1
2020-11,British Columbia,Unemployment rate,7.8
2020-11,British Columbia,Participation rate,66.0
2020-11,British Columbia,Employment rate,60.9
2020-12,Newfoundland and Labrador,Employment,226.7
2020-12,Newfoundland and Labrador,Full-time employment,189.5
2020-12,Newfoundland and Labrador,Part-time employment,37.2
2020-12,Newfoundland and Labrador,Unemployment rate,13.4
2020-12,Newfoundland and Labrador,Participation rate,58.3
2020-12,Newfoundland and Labrador,Employment rate,50.4
2020-12,Prince Edward Island,Employment,77.2
2020-12,Prince Edward Island,Full-time employment,65.6
2020-12,Prince Edward Island,Part-time employment,11.6
2020-12,Prince Edward Island,Unemployment rate,10.6
2020-12,Prince Edward Island,Participation rate,65.1
2020-12,Prince Edward Island,Employment rate,58.2
2020-12,Nova Scotia,Employment,465.5
2020-12,Nova Scotia,Full-time employment,383.9
2020-12,Nova Scotia,Part-time employment,81.6
2020-12,Nova Scotia,Unemployment rate,8.5
2020-12,Nova Scotia,Participation rate,61.6
2020-12,Nova Scotia,Employment rate,56.4
2020-12,New Brunswick,Employment,362.9
2020-12,New Brunswick,Full-time employment,305.7
2020-12,New Brunswick,Part-time employment,57.2
2020-12,New Brunswick,Unemployment rate,9.7
2020-12,New Brunswick,Participation rate,61.9
2020-12,New Brunswick,Employment rate,55.9
2020-12,Quebec,Employment,4183.1
2020-12,Quebec,Full-time employment,3449.9
2020-12,Quebec,Part-time employment,733.2
2020-12,Quebec,Unemployment rate,6.8
2020-12,Quebec,Participation rate,63.7
2020-12,Quebec,Employment rate,59.4
2020-12,Ontario,Employment,7288.2
2020-12,Ontario,Full-time employment,5999.6
2020-12,Ontario,Part-time employment,1288.6
2020-12,Ontario,Unemployment rate,9.9
2020-12,Ontario,Participation rate,65.7
2020-12,Ontario,Employment rate,59.2
2020-12,Manitoba,Employment,632.1
2020-12,Manitoba,Full-time employment,519.7
2020-12,Manitoba,Part-time employment,112.4
2020-12,Manitoba,Unemployment rate,8.4
2020-12,Manitoba,Participation rate,65.3
2020-12,Manitoba,Employment rate,59.8
2020-12,Saskatchewan,Employment,548.7
2020-12,Saskatchewan,Full-time employment,448.0
2020-12,Saskatchewan,Part-time employment,100.6
2020-12,Saskatchewan,Unemployment rate,7.5
2020-12,Saskatchewan,Participation rate,67.0
2020-12,Saskatchewan,Employment rate,62.0
2020-12,Alberta,Employment,2172.2
2020-12,Alberta,Full-time employment,1772.2
2020-12,Alberta,Part-time employment,400.0
2020-12,Alberta,Unemployment rate,10.7
2020-12,Alberta,Participation rate,69.3
2020-12,Alberta,Employment rate,61.8
2020-12,British Columbia,Employment,2635.1
2020-12,British Columbia,Full-time employment,2083.3
2020-12,British Columbia,Part-time employment,551.8
2020-12,British Columbia,Unemployment rate,7.6
2020-12,British Columbia,Participation rate,65.9
2020-12,British Columbia,Employment rate,60.8
2021-01,Newfoundland and Labrador,Employment,230.3
2021-01,Newfoundland and Labrador,Full-time employment,192.1
2021-01,Newfoundland and Labrador,Part-time employment,38.2
2021-01,Newfoundland and Labrador,Unemployment rate,12.2
2021-01,Newfoundland and Labrador,Participation rate,58.4
2021-01,Newfoundland and Labrador,Employment rate,51.2
2021-01,Prince Edward Island,Employment,78.1
2021-01,Prince Edward Island,Full-time employment,65.7
2021-01,Prince Edward Island,Part-time employment,12.4
2021-01,Prince Edward Island,Unemployment rate,8.4
2021-01,Prince Edward Island,Participation rate,64.3
2021-01,Prince Edward Island,Employment rate,58.9
2021-01,Nova Scotia,Employment,473.4
2021-01,Nova Scotia,Full-time employment,387.9
2021-01,Nova Scotia,Part-time employment,85.5
2021-01,Nova Scotia,Unemployment rate,9.0
2021-01,Nova Scotia,Participation rate,63.0
2021-01,Nova Scotia,Employment rate,57.3
2021-01,New Brunswick,Employment,366.5
2021-01,New Brunswick,Full-time employment,307.0
2021-01,New Brunswick,Part-time employment,59.5
2021-01,New Brunswick,Unemployment rate,8.8
2021-01,New Brunswick,Participation rate,61.8
2021-01,New Brunswick,Employment rate,56.4
2021-01,Quebec,Employment,4109.0
2021-01,Quebec,Full-time employment,3428.0
2021-01,Quebec,Part-time employment,681.0
2021-01,Quebec,Unemployment rate,8.2
2021-01,Quebec,Participation rate,63.5
2021-01,Quebec,Employment rate,58.3
2021-01,Ontario,Employment,7112.7
2021-01,Ontario,Full-time employment,5968.7
2021-01,Ontario,Part-time employment,1144.0
2021-01,Ontario,Unemployment rate,10.2
2021-01,Ontario,Participation rate,64.3
2021-01,Ontario,Employment rate,57.8
2021-01,Manitoba,Employment,636.6
2021-01,Manitoba,Full-time employment,527.9
2021-01,Manitoba,Part-time employment,108.7
2021-01,Manitoba,Unemployment rate,8.2
2021-01,Manitoba,Participation rate,65.6
2021-01,Manitoba,Employment rate,60.2
2021-01,Saskatchewan,Employment,551.6
2021-01,Saskatchewan,Full-time employment,450.7
2021-01,Saskatchewan,Part-time employment,100.9
2021-01,Saskatchewan,Unemployment rate,7.0
2021-01,Saskatchewan,Participation rate,67.0
2021-01,Saskatchewan,Employment rate,62.3
2021-01,Alberta,Employment,2186.9
2021-01,Alberta,Full-time employment,1784.3
2021-01,Alberta,Part-time employment,402.6
2021-01,Alberta,Unemployment rate,10.3
2021-01,Alberta,Participation rate,69.4
2021-01,Alberta,Employment rate,62.2
2021-01,British Columbia,Employment,2647.0
2021-01,British Columbia,Full-time employment,2093.3
2021-01,British Columbia,Part-time employment,553.7
2021-01,British Columbia,Unemployment rate,7.6
2021-01,British Columbia,Participation rate,66.2
2021-01,British Columbia,Employment rate,61.1
2021-02,Newfoundland and Labrador,Employment,214.5
2021-02,Newfoundland and Labrador,Full-time employment,180.9
2021-02,Newfoundland and Labrador,Part-time employment,33.7
2021-02,Newfoundland and Labrador,Unemployment rate,14.9
2021-02,Newfoundland and Labrador,Participation rate,56.1
2021-02,Newfoundland and Labrador,Employment rate,47.7
2021-02,Prince Edward Island,Employment,77.6
2021-02,Prince Edward Island,Full-time employment,65.0
2021-02,Prince Edward Island,Part-time employment,12.6
2021-02,Prince Edward Island,Unemployment rate,9.9
2021-02,Prince Edward Island,Participation rate,64.7
2021-02,Prince Edward Island,Employment rate,58.3
2021-02,Nova Scotia,Employment,475.0
2021-02,Nova Scotia,Full-time employment,387.7
2021-02,Nova Scotia,Part-time employment,87.3
2021-02,Nova Scotia,Unemployment rate,8.5
2021-02,Nova Scotia,Participation rate,62.8
2021-02,Nova Scotia,Employment rate,57.4
2021-02,New Brunswick,Employment,363.3
2021-02,New Brunswick,Full-time employment,306.2
2021-02,New Brunswick,Part-time employment,57.0
2021-02,New Brunswick,Unemployment rate,9.5
2021-02,New Brunswick,Participation rate,61.7
2021-02,New Brunswick,Employment rate,55.8
2021-02,Quebec,Employment,4205.2
2021-02,Quebec,Full-time employment,3482.9
2021-02,Quebec,Part-time employment,722.3
2021-02,Quebec,Unemployment rate,6.6
2021-02,Quebec,Participation rate,63.9
2021-02,Quebec,Employment rate,59.7
2021-02,Ontario,Employment,7227.6
2021-02,Ontario,Full-time employment,6025.3
2021-02,Ontario,Part-time employment,1202.3
2021-02,Ontario,Unemployment rate,9.5
2021-02,Ontario,Participation rate,64.8
2021-02,Ontario,Employment rate,58.7
2021-02,Manitoba,Employment,650.2
2021-02,Manitoba,Full-time employment,529.8
2021-02,Manitoba,Part-time employment,120.3
2021-02,Manitoba,Unemployment rate,7.0
2021-02,Manitoba,Participation rate,66.0
2021-02,Manitoba,Employment rate,61.4
2021-02,Saskatchewan,Employment,550.9
2021-02,Saskatchewan,Full-time employment,453.7
2021-02,Saskatchewan,Part-time employment,97.2
2021-02,Saskatchewan,Unemployment rate,7.2
2021-02,Saskatchewan,Participation rate,67.0
2021-02,Saskatchewan,Employment rate,62.2
2021-02,Alberta,Employment,2206.3
2021-02,Alberta,Full-time employment,1794.9
2021-02,Alberta,Part-time employment,411.5
2021-02,Alberta,Unemployment rate,9.9
2021-02,Alberta,Participation rate,69.7
2021-02,Alberta,Employment rate,62.7
2021-02,British Columbia,Employment,2661.4
2021-02,British Columbia,Full-time employment,2072.5
2021-02,British Columbia,Part-time employment,588.9
2021-02,British Columbia,Unemployment rate,7.3
2021-02,British Columbia,Participation rate,66.2
2021-02,British Columbia,Employment rate,61.4
2021-03,Newfoundland and Labrador,Employment,225.1
2021-03,Newfoundland and Labrador,Full-time employment,188.7
2021-03,Newfoundland and Labrador,Part-time employment,36.4
2021-03,Newfoundland and Labrador,Unemployment rate,12.9
2021-03,Newfoundland and Labrador,Participation rate,57.5
2021-03,Newfoundland and Labrador,Employment rate,50.1
2021-03,Prince Edward Island,Employment,79.1
2021-03,Prince Edward Island,Full-time employment,65.8
2021-03,Prince Edward Island,Part-time employment,13.3
2021-03,Prince Edward Island,Unemployment rate,8.8
2021-03,Prince Edward Island,Participation rate,65.0
2021-03,Prince Edward Island,Employment rate,59.3
2021-03,Nova Scotia,Employment,474.0
2021-03,Nova Scotia,Full-time employment,388.5
2021-03,Nova Scotia,Part-time employment,85.5
2021-03,Nova Scotia,Unemployment rate,9.2
2021-03,Nova Scotia,Participation rate,63.0
2021-03,Nova Scotia,Employment rate,57.2
2021-03,New Brunswick,Employment,364.4
2021-03,New Brunswick,Full-time employment,305.5
2021-03,New Brunswick,Part-time employment,58.8
2021-03,New Brunswick,Unemployment rate,9.4
2021-03,New Brunswick,Participation rate,61.7
2021-03,New Brunswick,Employment rate,55.9
2021-03,Quebec,Employment,4228.2
2021-03,Quebec,Full-time employment,3507.4
2021-03,Quebec,Part-time employment,720.8
2021-03,Quebec,Unemployment rate,6.7
2021-03,Quebec,Participation rate,64.2
2021-03,Quebec,Employment rate,60.0
2021-03,Ontario,Employment,7371.8
2021-03,Ontario,Full-time employment,6124.0
2021-03,Ontario,Part-time employment,1247.8
2021-03,Ontario,Unemployment rate,7.8
2021-03,Ontario,Participation rate,64.9
2021-03,Ontario,Employment rate,59.8
2021-03,Manitoba,Employment,656.1
2021-03,Manitoba,Full-time employment,539.4
2021-03,Manitoba,Part-time employment,116.7
2021-03,Manitoba,Unemployment rate,6.9
2021-03,Manitoba,Participation rate,66.5
2021-03,Manitoba,Employment rate,61.9
2021-03,Saskatchewan,Employment,552.0
2021-03,Saskatchewan,Full-time employment,450.7
2021-03,Saskatchewan,Part-time employment,101.4
2021-03,Saskatchewan,Unemployment rate,7.0
2021-03,Saskatchewan,Participation rate,67.1
2021-03,Saskatchewan,Employment rate,62.4
2021-03,Alberta,Employment,2240.4
2021-03,Alberta,Full-time employment,1814.6
2021-03,Alberta,Part-time employment,425.8
2021-03,Alberta,Unemployment rate,9.2
2021-03,Alberta,Participation rate,70.2
2021-03,Alberta,Employment rate,63.7
2021-03,British Columbia,Employment,2681.8
2021-03,British Columbia,Full-time employment,2069.6
2021-03,British Columbia,Part-time employment,612.2
2021-03,British Columbia,Unemployment rate,7.2
2021-03,British Columbia,Participation rate,66.6
2021-03,British Columbia,Employment rate,61.8
2021-04,Newfoundland and Labrador,Employment,225.6
2021-04,Newfoundland and Labrador,Full-time employment,191.2
2021-04,Newfoundland and Labrador,Part-time employment,34.4
2021-04,Newfoundland and Labrador,Unemployment rate,12.9
2021-04,Newfoundland and Labrador,Participation rate,57.6
2021-04,Newfoundland and Labrador,Employment rate,50.2
2021-04,Prince Edward Island,Employment,78.9
2021-04,Prince Edward Island,Full-time employment,65.8
2021-04,Prince Edward Island,Part-time employment,13.0
2021-04,Prince Edward Island,Unemployment rate,9.7
2021-04,Prince Edward Island,Participation rate,65.4
2021-04,Prince Edward Island,Employment rate,59.0
2021-04,Nova Scotia,Employment,475.3
2021-04,Nova Scotia,Full-time employment,388.3
2021-04,Nova Scotia,Part-time employment,87.1
2021-04,Nova Scotia,Unemployment rate,8.4
2021-04,Nova Scotia,Participation rate,62.6
2021-04,Nova Scotia,Employment rate,57.3
2021-04,New Brunswick,Employment,365.1
2021-04,New Brunswick,Full-time employment,309.1
2021-04,New Brunswick,Part-time employment,56.0
2021-04,New Brunswick,Unemployment rate,8.9
2021-04,New Brunswick,Participation rate,61.5
2021-04,New Brunswick,Employment rate,56.0
2021-04,Quebec,Employment,4209.2
2021-04,Quebec,Full-time employment,3499.8
2021-04,Quebec,Part-time employment,709.4
2021-04,Quebec,Unemployment rate,6.7
2021-04,Quebec,Participation rate,64.0
2021-04,Quebec,Employment rate,59.7
2021-04,Ontario,Employment,7228.9
2021-04,Ontario,Full-time employment,6031.9
2021-04,Ontario,Part-time employment,1197.0
2021-04,Ontario,Unemployment rate,9.4
2021-04,Ontario,Participation rate,64.7
2021-04,Ontario,Employment rate,58.7
2021-04,Manitoba,Employment,664.6
2021-04,Manitoba,Full-time employment,541.5
2021-04,Manitoba,Part-time employment,123.0
2021-04,Manitoba,Unemployment rate,7.2
2021-04,Manitoba,Participation rate,67.5
2021-04,Manitoba,Employment rate,62.7
2021-04,Saskatchewan,Employment,557.7
2021-04,Saskatchewan,Full-time employment,447.8
2021-04,Saskatchewan,Part-time employment,109.9
2021-04,Saskatchewan,Unemployment rate,6.3
2021-04,Saskatchewan,Participation rate,67.3
2021-04,Saskatchewan,Employment rate,63.0
2021-04,Alberta,Employment,2222.7
2021-04,Alberta,Full-time employment,1816.6
2021-04,Alberta,Part-time employment,406.1
2021-04,Alberta,Unemployment rate,8.8
2021-04,Alberta,Participation rate,69.3
2021-04,Alberta,Employment rate,63.2
2021-04,British Columbia,Employment,2645.8
2021-04,British Columbia,Full-time employment,2080.3
2021-04,British Columbia,Part-time employment,565.5
2021-04,British Columbia,Unemployment rate,7.0
2021-04,British Columbia,Participation rate,65.6
2021-04,British Columbia,Employment rate,60.9
2021-05,Newfoundland and Labrador,Employment,222.7
2021-05,Newfoundland and Labrador,Full-time employment,186.5
2021-05,Newfoundland and Labrador,Part-time employment,36.2
2021-05,Newfoundland and Labrador,Unemployment rate,13.1
2021-05,Newfoundland and Labrador,Participation rate,57.0
2021-05,Newfoundland and Labrador,Employment rate,49.5
2021-05,Prince Edward Island,Employment,79.4
2021-05,Prince Edward Island,Full-time employment,66.3
2021-05,Prince Edward Island,Part-time employment,13.0
2021-05,Prince Edward Island,Unemployment rate,10.5
2021-05,Prince Edward Island,Participation rate,66.2
2021-05,Prince Edward Island,Employment rate,59.3
2021-05,Nova Scotia,Employment,455.3
2021-05,Nova Scotia,Full-time employment,374.5
2021-05,Nova Scotia,Part-time employment,80.9
2021-05,Nova Scotia,Unemployment rate,10.5
2021-05,Nova Scotia,Participation rate,61.2
2021-05,Nova Scotia,Employment rate,54.8
2021-05,New Brunswick,Employment,365.2
2021-05,New Brunswick,Full-time employment,308.8
2021-05,New Brunswick,Part-time employment,56.3
2021-05,New Brunswick,Unemployment rate,9.3
2021-05,New Brunswick,Participation rate,61.7
2021-05,New Brunswick,Employment rate,55.9
2021-05,Quebec,Employment,4215.1
2021-05,Quebec,Full-time employment,3490.2
2021-05,Quebec,Part-time employment,724.9
2021-05,Quebec,Unemployment rate,6.6
2021-05,Quebec,Participation rate,64.0
2021-05,Quebec,Employment rate,59.7
2021-05,Ontario,Employment,7196.4
2021-05,Ontario,Full-time employment,6013.8
2021-05,Ontario,Part-time employment,1182.5
2021-05,Ontario,Unemployment rate,9.4
2021-05,Ontario,Participation rate,64.5
2021-05,Ontario,Employment rate,58.4
2021-05,Manitoba,Employment,661.1
2021-05,Manitoba,Full-time employment,542.9
2021-05,Manitoba,Part-time employment,118.2
2021-05,Manitoba,Unemployment rate,6.9
2021-05,Manitoba,Participation rate,66.9
2021-05,Manitoba,Employment rate,62.3
2021-05,Saskatchewan,Employment,559.0
2021-05,Saskatchewan,Full-time employment,448.9
2021-05,Saskatchewan,Part-time employment,110.1
2021-05,Saskatchewan,Unemployment rate,6.5
2021-05,Saskatchewan,Participation rate,67.6
2021-05,Saskatchewan,Employment rate,63.2
2021-05,Alberta,Employment,2218.5
2021-05,Alberta,Full-time employment,1808.8
2021-05,Alberta,Part-time employment,409.7
2021-05,Alberta,Unemployment rate,8.5
2021-05,Alberta,Participation rate,68.9
2021-05,Alberta,Employment rate,63.0
2021-05,British Columbia,Employment,2651.0
2021-05,British Columbia,Full-time employment,2096.9
2021-05,British Columbia,Part-time employment,554.0
2021-05,British Columbia,Unemployment rate,7.1
2021-05,British Columbia,Participation rate,65.7
2021-05,British Columbia,Employment rate,61.0
2021-06,Newfoundland and Labrador,Employment,226.5
2021-06,Newfoundland and Labrador,Full-time employment,192.6
2021-06,Newfoundland and Labrador,Part-time employment,33.9
2021-06,Newfoundland and Labrador,Unemployment rate,13.0
2021-06,Newfoundland and Labrador,Participation rate,57.9
2021-06,Newfoundland and Labrador,Employment rate,50.4
2021-06,Prince Edward Island,Employment,78.9
2021-06,Prince Edward Island,Full-time employment,65.7
2021-06,Prince Edward Island,Part-time employment,13.2
2021-06,Prince Edward Island,Unemployment rate,12.4
2021-06,Prince Edward Island,Participation rate,67.0
2021-06,Prince Edward Island,Employment rate,58.7
2021-06,Nova Scotia,Employment,473.0
2021-06,Nova Scotia,Full-time employment,382.4
2021-06,Nova Scotia,Part-time employment,90.6
2021-06,Nova Scotia,Unemployment rate,8.7
2021-06,Nova Scotia,Participation rate,62.3
2021-06,Nova Scotia,Employment rate,56.8
2021-06,New Brunswick,Employment,362.3
2021-06,New Brunswick,Full-time employment,306.4
2021-06,New Brunswick,Part-time employment,55.8
2021-06,New Brunswick,Unemployment rate,10.1
2021-06,New Brunswick,Participation rate,61.6
2021-06,New Brunswick,Employment rate,55.4
2021-06,Quebec,Employment,4298.8
2021-06,Quebec,Full-time employment,3515.2
2021-06,Quebec,Part-time employment,783.6
2021-06,Quebec,Unemployment rate,6.2
2021-06,Quebec,Participation rate,64.9
2021-06,Quebec,Employment rate,60.9
2021-06,Ontario,Employment,7324.7
2021-06,Ontario,Full-time employment,6044.5
2021-06,Ontario,Part-time employment,1280.2
2021-06,Ontario,Unemployment rate,8.8
2021-06,Ontario,Participation rate,65.1
2021-06,Ontario,Employment rate,59.4
2021-06,Manitoba,Employment,655.2
2021-06,Manitoba,Full-time employment,538.5
2021-06,Manitoba,Part-time employment,116.7
2021-06,Manitoba,Unemployment rate,7.6
2021-06,Manitoba,Participation rate,66.8
2021-06,Manitoba,Employment rate,61.7
2021-06,Saskatchewan,Employment,559.4
2021-06,Saskatchewan,Full-time employment,453.5
2021-06,Saskatchewan,Part-time employment,105.9
2021-06,Saskatchewan,Unemployment rate,6.9
2021-06,Saskatchewan,Participation rate,67.9
2021-06,Saskatchewan,Employment rate,63.2
2021-06,Alberta,Employment,2230.6
2021-06,Alberta,Full-time employment,1803.7
2021-06,Alberta,Part-time employment,426.9
2021-06,Alberta,Unemployment rate,8.8
2021-06,Alberta,Participation rate,69.5
2021-06,Alberta,Employment rate,63.3
2021-06,British Columbia,Employment,2684.9
2021-06,British Columbia,Full-time employment,2081.6
2021-06,British Columbia,Part-time employment,603.3
2021-06,British Columbia,Unemployment rate,6.6
2021-06,British Columbia,Participation rate,66.1
2021-06,British Columbia,Employment rate,61.7
2021-07,Newfoundland and Labrador,Employment,226.5
2021-07,Newfoundland and Labrador,Full-time employment,193.7
2021-07,Newfoundland and Labrador,Part-time employment,32.9
2021-07,Newfoundland and Labrador,Unemployment rate,13.2
2021-07,Newfoundland and Labrador,Participation rate,58.0
2021-07,Newfoundland and Labrador,Employment rate,50.3
2021-07,Prince Edward Island,Employment,80.5
2021-07,Prince Edward Island,Full-time employment,68.0
2021-07,Prince Edward Island,Part-time employment,12.5
2021-07,Prince Edward Island,Unemployment rate,10.8
2021-07,Prince Edward Island,Participation rate,66.9
2021-07,Prince Edward Island,Employment rate,59.7
2021-07,Nova Scotia,Employment,477.5
2021-07,Nova Scotia,Full-time employment,386.7
2021-07,Nova Scotia,Part-time employment,90.8
2021-07,Nova Scotia,Unemployment rate,8.5
2021-07,Nova Scotia,Participation rate,62.6
2021-07,Nova Scotia,Employment rate,57.3
2021-07,New Brunswick,Employment,363.4
2021-07,New Brunswick,Full-time employment,307.8
2021-07,New Brunswick,Part-time employment,55.6
2021-07,New Brunswick,Unemployment rate,9.5
2021-07,New Brunswick,Participation rate,61.3
2021-07,New Brunswick,Employment rate,55.5
2021-07,Quebec,Employment,4285.6
2021-07,Quebec,Full-time employment,3514.7
2021-07,Quebec,Part-time employment,771.0
2021-07,Quebec,Unemployment rate,6.2
2021-07,Quebec,Participation rate,64.7
2021-07,Quebec,Employment rate,60.7
2021-07,Ontario,Employment,7429.9
2021-07,Ontario,Full-time employment,6090.4
2021-07,Ontario,Part-time employment,1339.5
2021-07,Ontario,Unemployment rate,7.9
2021-07,Ontario,Participation rate,65.3
2021-07,Ontario,Employment rate,60.1
2021-07,Manitoba,Employment,667.6
2021-07,Manitoba,Full-time employment,543.4
2021-07,Manitoba,Part-time employment,124.2
2021-07,Manitoba,Unemployment rate,6.1
2021-07,Manitoba,Participation rate,66.8
2021-07,Manitoba,Employment rate,62.8
2021-07,Saskatchewan,Employment,555.7
2021-07,Saskatchewan,Full-time employment,452.3
2021-07,Saskatchewan,Part-time employment,103.4
2021-07,Saskatchewan,Unemployment rate,6.8
2021-07,Saskatchewan,Participation rate,67.4
2021-07,Saskatchewan,Employment rate,62.8
2021-07,Alberta,Employment,2235.0
2021-07,Alberta,Full-time employment,1791.2
2021-07,Alberta,Part-time employment,443.8
2021-07,Alberta,Unemployment rate,8.4
2021-07,Alberta,Participation rate,69.2
2021-07,Alberta,Employment rate,63.4
2021-07,British Columbia,Employment,2694.7
2021-07,British Columbia,Full-time employment,2093.1
2021-07,British Columbia,Part-time employment,601.6
2021-07,British Columbia,Unemployment rate,6.4
2021-07,British Columbia,Participation rate,66.1
2021-07,British Columbia,Employment rate,61.9
2021-08,Newfoundland and Labrador,Employment,225.8
2021-08,Newfoundland and Labrador,Full-time employment,191.2
2021-08,Newfoundland and Labrador,Part-time employment,34.6
2021-08,Newfoundland and Labrador,Unemployment rate,13.2
2021-08,Newfoundland and Labrador,Participation rate,57.8
2021-08,Newfoundland and Labrador,Employment rate,50.2
2021-08,Prince Edward Island,Employment,80.3
2021-08,Prince Edward Island,Full-time employment,67.9
2021-08,Prince Edward Island,Part-time employment,12.4
2021-08,Prince Edward Island,Unemployment rate,10.8
2021-08,Prince Edward Island,Participation rate,66.3
2021-08,Prince Edward Island,Employment rate,59.3
2021-08,Nova Scotia,Employment,478.4
2021-08,Nova Scotia,Full-time employment,386.5
2021-08,Nova Scotia,Part-time employment,92.0
2021-08,Nova Scotia,Unemployment rate,8.0
2021-08,Nova Scotia,Participation rate,62.3
2021-08,Nova Scotia,Employment rate,57.3
2021-08,New Brunswick,Employment,360.4
2021-08,New Brunswick,Full-time employment,306.7
2021-08,New Brunswick,Part-time employment,53.7
2021-08,New Brunswick,Unemployment rate,9.6
2021-08,New Brunswick,Participation rate,60.8
2021-08,New Brunswick,Employment rate,55.0
2021-08,Quebec,Employment,4288.0
2021-08,Quebec,Full-time employment,3529.8
2021-08,Quebec,Part-time employment,758.2
2021-08,Quebec,Unemployment rate,5.7
2021-08,Quebec,Participation rate,64.3
2021-08,Quebec,Employment rate,60.7
2021-08,Ontario,Employment,7463.1
2021-08,Ontario,Full-time employment,6080.7
2021-08,Ontario,Part-time employment,1382.4
2021-08,Ontario,Unemployment rate,7.7
2021-08,Ontario,Participation rate,65.3
2021-08,Ontario,Employment rate,60.3
2021-08,Manitoba,Employment,664.9
2021-08,Manitoba,Full-time employment,545.5
2021-08,Manitoba,Part-time employment,119.4
2021-08,Manitoba,Unemployment rate,5.7
2021-08,Manitoba,Participation rate,66.3
2021-08,Manitoba,Employment rate,62.5
2021-08,Saskatchewan,Employment,563.2
2021-08,Saskatchewan,Full-time employment,455.5
2021-08,Saskatchewan,Part-time employment,107.7
2021-08,Saskatchewan,Unemployment rate,6.7
2021-08,Saskatchewan,Participation rate,68.2
2021-08,Saskatchewan,Employment rate,63.7
2021-08,Alberta,Employment,2257.8
2021-08,Alberta,Full-time employment,1825.9
2021-08,Alberta,Part-time employment,432.0
2021-08,Alberta,Unemployment rate,8.0
2021-08,Alberta,Participation rate,69.5
2021-08,Alberta,Employment rate,63.9
2021-08,British Columbia,Employment,2699.7
2021-08,British Columbia,Full-time employment,2117.9
2021-08,British Columbia,Part-time employment,581.9
2021-08,British Columbia,Unemployment rate,6.5
2021-08,British Columbia,Participation rate,66.1
2021-08,British Columbia,Employment rate,61.8
2021-09,Newfoundland and Labrador,Employment,224.5
2021-09,Newfoundland and Labrador,Full-time employment,193.5
2021-09,Newfoundland and Labrador,Part-time employment,31.0
2021-09,Newfoundland and Labrador,Unemployment rate,14.0
2021-09,Newfoundland and Labrador,Participation rate,57.9
2021-09,Newfoundland and Labrador,Employment rate,49.9
2021-09,Prince Edward Island,Employment,80.2
2021-09,Prince Edward Island,Full-time employment,68.3
2021-09,Prince Edward Island,Part-time employment,11.9
2021-09,Prince Edward Island,Unemployment rate,11.5
2021-09,Prince Edward Island,Participation rate,66.7
2021-09,Prince Edward Island,Employment rate,59.0
2021-09,Nova Scotia,Employment,482.4
2021-09,Nova Scotia,Full-time employment,389.2
2021-09,Nova Scotia,Part-time employment,93.2
2021-09,Nova Scotia,Unemployment rate,7.9
2021-09,Nova Scotia,Participation rate,62.7
2021-09,Nova Scotia,Employment rate,57.7
2021-09,New Brunswick,Employment,365.5
2021-09,New Brunswick,Full-time employment,309.9
2021-09,New Brunswick,Part-time employment,55.7
2021-09,New Brunswick,Unemployment rate,9.6
2021-09,New Brunswick,Participation rate,61.6
2021-09,New Brunswick,Employment rate,55.7
2021-09,Quebec,Employment,4302.9
2021-09,Quebec,Full-time employment,3541.6
2021-09,Quebec,Part-time employment,761.3
2021-09,Quebec,Unemployment rate,5.9
2021-09,Quebec,Participation rate,64.7
2021-09,Quebec,Employment rate,60.9
2021-09,Ontario,Employment,7553.1
2021-09,Ontario,Full-time employment,6189.9
2021-09,Ontario,Part-time employment,1363.2
2021-09,Ontario,Unemployment rate,7.4
2021-09,Ontario,Participation rate,65.9
2021-09,Ontario,Employment rate,61.0
2021-09,Manitoba,Employment,676.4
2021-09,Manitoba,Full-time employment,551.9
2021-09,Manitoba,Part-time employment,124.5
2021-09,Manitoba,Unemployment rate,5.7
2021-09,Manitoba,Participation rate,67.4
